
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1964  -80.5784   -3.5   -0.1  316.5   28.0   953.5   30.1   53.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573    11    18  2000    20    35    76    33    54     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5702  5104  5500    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   113   113   105     0    59 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   200 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150   821   252    93     2    55     1     6     4 -9999 -9999
   140   785   242    93     1    55     1     6     1 -9999 -9999
   130   749   229    93     2    55     0     5     1   123 -9999
   120   713   219    94     2    54     2     6     1   116 -9999
   110   677   208    92    -1    54     0     5     1   110 -9999
   100   240   198    95     5    54     4     8     1   104 -9999
    90    60   188    95     0    53     1     1     2    98 -9999
    80    78   177    88    -9    53     3    14     2    92 -9999
    70   123   166    86    -9    55     4    -2     2    85 -9999
    60   131   168    80    -9    53     6    -5     5    79 -9999
    50   145   161    79    -9    50     6   -15     1    79 -9999
    40   205   161    78   -10    51     3   -16     4    74 -9999
    30   222   162    76   -12    49     2   -16     3    76 -9999
    20   188   161    72   -13    49     3   -23     1    73 -9999
    10    95   161    68   -11    50     2   -29     3    71 -9999
$
