
   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1975  -80.5777   -0.1    0.0  278.8   29.4   949.6   23.1   36.2                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5     2  2017    11    50    60    29    96     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5403  6103  5501    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   114   105   106     0    60 10100

   ALT    CT SPEED   DIR     W    SW    SU    SV  U'V'  U'W'  ETAM

   195 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   190 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   185 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   180 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   175 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   170 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   165 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   160 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   155 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   150 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   145 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   140 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   135 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999
   130   957   578   310   -15    45 -9999 -9999 -9999 -9999 -9999
   125   426   578   309   -14    45 -9999 -9999 -9999 -9999 -9999
   120   199   581   307   -15    46 -9999 -9999 -9999 -9999 -9999
   115   183   582   306   -14    45 -9999 -9999 -9999 -9999 -9999
   110   168   586   304   -15    47     1 -9999     1 -9999 -9999
   105   158   589   302   -20    59     2 -9999     1 -9999 -9999
   100   150   593   301   -28    81     0 -9999     0 -9999 -9999
    95   141   597   299   -34    96     1 -9999     0 -9999 -9999
    90   148   602   297   -37    96     0 -9999     0 -9999 -9999
    85   155   607   296   -40    88     0 -9999     1 -9999 -9999
    80   164   620   295   -41    85     0 -9999     0 -9999 -9999
    75   190   644   296   -41    86     0 -9999     0 -9999 -9999
    70   216   659   296   -39    89     1 -9999     0 -9999 -9999
    65   246   653   293   -40    88     1 -9999     0  -218 -9999
    60   283   642   289   -44    81     1   180     0  -206 -9999
    55   321   623   288   -48    73     0   196     1  -194 -9999
    50   336   589   288   -52    67     1   212     0  -182 -9999
    45   327   567   287   -60    59     0   228     4  -170 -9999
    40   318   568   286   -67    51     4   244     3  -158 -9999
    35   281   566   285   -72    52     6   260     4  -182 -9999
    30   228   543   284   -77    58     3   276     3  -133 -9999
    25   175   510   283   -78    64     9   244     5  -115 -9999
    20   233   480   281   -64    67     6   250     2  -105 -9999
    15   315   456   279   -38    69     4   220     3   -80 -9999
    10   397   429   277   -16    72     1   197     1   -54 -9999
$

   GPS LAT  GPS LONG   ROLL  PITCH AZIMUT   T IN  PmBARS  T OUT    RH%
   37.1975  -80.5777   -0.1    0.0  278.5   30.8   949.7   23.6   38.1                    

   BL# MONTH   DAY  YEAR  HOUR   MIN  VAL1  VAL2  VAL3  VAL4
   573     5     2  2017    11    55    75    26   127     0

  SPU1  SPU2  SPU3  SPU4 NOIS1 NOIS2 NOIS3 NOIS4 FEMAX SOFTW
 -9999 -9999 -9999     0  5902  5803  5701    29 -9999  9063

  FE11  FE12  FE21  FE22  SNR1  SNR2  SNR3  SNR4 CHECK   JAM
 -9999 -9999 -9999 -9999   123   114   106     0    65 10100

